"ET.estat";"i.id0";"i.name.no";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi"
"h: wet";"nb.16";"Funksjonelle plantegrupper";"Mdir/NINA";"2019";"5";"fylke/region";"B3";"fg";"u";"mod"
"j: river";"fj.12, sk.12, vs.06";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"xx";"bm";"p";"na"
"j: river";"QMIN";"Minimum 7-døgns middelvannføring, sommer og vinter";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"af";"p";"exp"
"j: river";"P-TOT";"Totalt fosfor (Tot-P)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"j: river";"N-TOT";"Totalt nitrogen (Tot-N)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"j: river";"N-NH3";"Ammoniakk og ammonium";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"exp?, mdc?"
"j: river";"O2";"Oksygen (O2)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"exp"
"j: river";"PH";"pH - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"mdc"
"j: river";"LAL";"Potensielt gift aluminium (LAl, UM-Al) - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"j: river";"ANC";"Vannets syrenøytraliserende kapasitet (ANC) - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"mdc"
"j: river";"AIP";"AIP: Forsuringsindeks for begroingsalger i elv";"NIVA (Suzanne Schneider) + Vannmiljø";;"1";"annet";"A2";"bm";"n";"mdc"
"j: river";"PIT";"PIT: Eutrofieringsindeks for begroingsalger i elv";"NIVA (Suzanne Schneider) + Vannmiljø";;"1";"annet";"A2";"bm";"n";"mdc"
"j: river";"ASPT";"ASPT: Average Score Per Taxon - litorale bunndyr i elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"j: river";"RAMI";"RAMI: Forsuringsindeks for litorale bunndyr i elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"j: river";"Raddum-2";"Raddum forsuringsindeks-2 - litorale bunndyr i elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"j: river";"EMANTLLE";"Elvemusling (Margaritifera margaritifera) - terskelindikator i elv";"NINA  + Vannmiljø";;"1";"annet";"B1a";"bm";"??";"exp"
"j: river";"HBI2";"HBI2: Heterotrof begroingsindeks for elv";"NIVA  + Vannmiljø";;"1";"annet";"A2";"bm";"n";"mdc"
"j: river";"NEFI";"NEFI: Norsk endringsindeks for fisk - elver og innsjøer";"NINA  + Vannmiljø";;"1";"annet";"B1b";"bm";"p";"mdc"
"j: river";"FIBESTE";"Bestandsendring fisk";"NINA  + Vannmiljø";;"1";"annet";"B1b";"bm";"n";"mdc"
"j: river";"Cpue_juveniles";"Tetthet av ungfisk i elver basert på laks og ørret";"NINA  + Vannmiljø";;"1";"annet";"B1a";"bm";"p";"oth"
"j: river";"fragmenteringsgrad";"Fragmenteringsgrad (FG)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"C1";"lm";"n";"exp"
"j: river";"barriereeffekt";"Barriereeffekt (BE)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"C1";"lm";"n";"exp"
"j: river";"overall chemical status";"Kjemisk tilstand (god eller dårlig)";"Vann-nett";;"1";"annet";"A2";"";"n?";"zer"
"j: river";"overall ecol status";"Økologisk tilstand (nEQR)";"Vann-nett";;"1";"annet";"xx";"";"p";"?"
"k: lake";"fj.12, sk.12, vs.06";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"xx";"bm";"p";"na"
"k: lake";"VANNSTVAR";"Reguleringshøyde";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"af";"n";"exp"
"k: lake";"HR2XSD";"Forholdet mellom reguleringshøyde og siktedyp";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"af";"n";"exp"
"k: lake";"SECCI";"Siktedyp";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"af";"p";"mdc"
"k: lake";"P-TOT";"Totalt fosfor (Tot-P)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"k: lake";"N-TOT";"Totalt nitrogen (Tot-N)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"k: lake";"N-NH3";"Ammoniakk og ammonium";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"exp?, mdc?"
